YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
2017,1,11,Xavier,76,6,Maryland,65
2017,1,5,Notre Dame,60,12,Princeton,58
2017,1,2,Kentucky,79,15,Northern Kentucky,70
2017,1,1,North Carolina,103,16,Texas Southern,64
2017,1,3,UCLA,97,14,Kent State,80
2017,1,5,Iowa State,84,12,Nevada,73
2017,1,5,Virginia,76,12,UNC Wilmington,71
2017,1,3,Florida State,86,14,Florida Gulf Coast,80
2017,1,1,Gonzaga,66,16,South Dakota State,46
2017,1,2,Duke,87,15,Troy,65
2017,1,1,Kansas,100,16,UC Davis,62
2017,1,11,Rhode Island,84,6,Creighton,72
2017,1,9,Michigan State,78,8,Miami (Fla.),58
2017,1,2,Arizona,100,15,North Dakota,82
2017,1,7,St. Mary's (Cal.),85,10,Virginia Commonwealth,77
2017,1,1,Villanova,76,16,Mount St. Mary's,56
2017,1,3,Baylor,91,14,New Mexico State,73
2017,1,2,Louisville,78,15,Jacksonville State,63
2017,1,7,South Carolina,93,10,Marquette,73
2017,1,6,Cincinnati,75,11,Kansas State,61
2017,1,4,Purdue,80,13,Vermont,70
2017,1,3,Oregon,93,14,Iona,77
2017,1,4,Florida,80,13,East Tennessee State,65
2017,1,10,Wichita State,64,7,Dayton,58
2017,1,12,Middle Tennessee State,81,5,Minnesota,72
2017,1,4,Butler,76,13,Winthrop,64
2017,1,8,Wisconsin,84,9,Virginia Tech,74
2017,1,11,Southern California,66,6,Southern Methodist,65
2017,1,8,Northwestern,68,9,Vanderbilt,66
2017,0,11,Kansas State,95,11,Wake Forest,88
2017,0,11,Southern California,75,11,Providence,71
2017,0,16,Mount St. Mary's,67,16,New Orleans,66
2017,0,16,UC Davis,67,16,North Carolina Central,63
2016,6,2,Villanova,77,1,North Carolina,74
2016,5,1,North Carolina,83,10,Syracuse,66
2016,5,2,Villanova,95,2,Oklahoma,51
2016,4,1,North Carolina,88,6,Notre Dame,74
2016,4,10,Syracuse,68,1,Virginia,62
2016,4,2,Villanova,64,1,Kansas,59
2016,4,2,Oklahoma,80,1,Oregon,68
2016,3,6,Notre Dame,61,7,Wisconsin,56
2016,3,1,North Carolina,101,5,Indiana,86
2016,3,1,Virginia,84,4,Iowa State,71
2016,3,10,Syracuse,63,11,Gonzaga,60
2016,3,1,Kansas,79,5,Maryland,63
2016,3,2,Villanova,92,3,Miami (Fla.),69
2016,3,2,Oklahoma,77,3,Texas A&M,63
2016,3,1,Oregon,82,4,Duke,68
2016,2,5,Maryland,73,13,Hawaii,60
2016,2,6,Notre Dame,76,14,Stephen F. Austin,75
2016,2,1,North Carolina,85,9,Providence,66
2016,2,5,Indiana,73,4,Kentucky,67
2016,2,1,Virginia,77,9,Butler,69
2016,2,3,Miami (Fla.),65,11,Wichita State,57
2016,2,11,Gonzaga,82,3,Utah,59
2016,2,1,Kansas,73,9,Connecticut,61
2016,2,2,Villanova,87,7,Iowa,68
2016,2,2,Oklahoma,85,10,Virginia Commonwealth,81
2016,2,10,Syracuse,75,15,Middle Tennessee State,50
2016,2,3,Texas A&M,92,11,Northern Iowa,88
2016,2,7,Wisconsin,66,2,Xavier,63
2016,2,1,Oregon,69,8,St. Joseph's,64
2016,2,4,Duke,71,12,Yale,64
2016,2,4,Iowa State,78,12,Arkansas-Little Rock,61
2016,1,14,Stephen F. Austin,70,3,West Virginia,56
2016,1,5,Maryland,79,12,South Dakota State,74
2016,1,6,Notre Dame,70,11,Michigan,63
2016,1,4,Kentucky,85,13,Stony Brook,57
2016,1,1,North Carolina,83,16,Florida Gulf Coast,67
2016,1,15,Middle Tennessee State,90,2,Michigan State,81
2016,1,5,Indiana,99,12,Chattanooga,74
2016,1,4,Iowa State,94,13,Iona,81
2016,1,1,Virginia,81,16,Hampton,45
2016,1,10,Virginia Commonwealth,75,7,Oregon State,67
2016,1,11,Northern Iowa,75,6,Texas,72
2016,1,4,Duke,93,13,UNC Wilmington,85
2016,1,1,Kansas,105,16,Austin Peay,79
2016,1,7,Wisconsin,47,10,Pittsburgh,43
2016,1,3,Miami (Fla.),79,14,Buffalo,72
2016,1,11,Wichita State,65,6,Arizona,55
2016,1,2,Villanova,86,15,UNC Asheville,56
2016,1,2,Oklahoma,82,15,Cal State Bakersfield,68
2016,1,9,Connecticut,74,8,Colorado,67
2016,1,12,Arkansas-Little Rock,85,5,Purdue,83
2016,1,3,Texas A&M,92,14,Green Bay,65
2016,1,2,Xavier,71,15,Weber State,53
2016,1,9,Butler,71,8,Texas Tech,61
2016,1,7,Iowa,72,10,Temple,70
2016,1,1,Oregon,91,16,Holy Cross,52
2016,1,8,St. Joseph's,78,9,Cincinnati,76
2016,1,3,Utah,80,14,Fresno State,69
2016,1,13,Hawaii,77,4,UC Berkeley,66
2016,1,9,Providence,70,8,Southern California,69
2016,1,10,Syracuse,70,7,Dayton,51
2016,1,12,Yale,79,5,Baylor,75
2016,1,11,Gonzaga,68,6,Seton Hall,52
2016,0,11,Wichita State,70,11,Vanderbilt,50
2016,0,11,Michigan,67,11,Tulsa,62
2016,0,16,Holy Cross,59,16,Southern,55
2016,0,16,Florida Gulf Coast,96,16,Fairleigh Dickinson,65
2015,6,1,Duke,68,1,Wisconsin,63
2015,5,1,Wisconsin,71,1,Kentucky,64
2015,5,1,Duke,81,7,Michigan State,61
2015,4,1,Wisconsin,85,2,Arizona,78
2015,4,1,Kentucky,68,3,Notre Dame,66
2015,4,7,Michigan State,76,4,Louisville,70
2015,4,1,Duke,66,2,Gonzaga,52
2015,3,1,Wisconsin,79,4,North Carolina,72
2015,3,3,Notre Dame,81,7,Wichita State,70
2015,3,1,Kentucky,78,5,West Virginia,39
2015,3,2,Gonzaga,74,11,UCLA,62
2015,3,1,Duke,63,5,Utah,57
2015,3,7,Michigan State,62,3,Oklahoma,58
2015,3,4,Louisville,75,8,North Carolina State,65
2015,3,2,Arizona,68,6,Xavier,60
2015,2,4,North Carolina,87,5,Arkansas,78
2015,2,1,Wisconsin,72,8,Oregon,65
2015,2,5,West Virginia,69,4,Maryland,59
2015,2,1,Kentucky,64,8,Cincinnati,51
2015,2,7,Michigan State,60,2,Virginia,54
2015,2,11,UCLA,92,14,Alabama-Birmingham,75
2015,2,7,Wichita State,78,2,Kansas,65
2015,2,2,Arizona,73,10,Ohio State,58
2015,2,1,Duke,68,8,San Diego State,49
2015,2,8,North Carolina State,71,1,Villanova,68
2015,2,4,Louisville,66,5,Northern Iowa,53
2015,2,6,Xavier,75,14,Georgia State,67
2015,2,2,Gonzaga,87,7,Iowa,68
2015,2,5,Utah,75,4,Georgetown,64
2015,2,3,Oklahoma,72,11,Dayton,66
2015,2,3,Notre Dame,67,6,Butler,64
2015,1,5,Arkansas,56,12,Wofford,53
2015,1,1,Wisconsin,86,16,Coastal Carolina,72
2015,1,4,Maryland,65,13,Valparaiso,62
2015,1,3,Notre Dame,69,14,Northeastern,65
2015,1,1,Kentucky,79,16,Hampton,56
2015,1,4,North Carolina,67,13,Harvard,65
2015,1,7,Michigan State,70,10,Georgia,63
2015,1,2,Virginia,79,15,Belmont,67
2015,1,7,Wichita State,81,10,Indiana,76
2015,1,8,San Diego State,76,9,St. John's,64
2015,1,10,Ohio State,75,7,Virginia Commonwealth,72
2015,1,2,Gonzaga,86,15,North Dakota State,76
2015,1,1,Duke,85,16,Robert Morris,56
2015,1,2,Kansas,75,15,New Mexico State,56
2015,1,2,Arizona,93,15,Texas Southern,72
2015,1,1,Villanova,93,16,Lafayette,52
2015,1,3,Oklahoma,69,14,Albany (N.Y.),60
2015,1,14,Georgia State,57,3,Baylor,56
2015,1,8,North Carolina State,66,9,LSU,65
2015,1,14,Alabama-Birmingham,60,3,Iowa State,59
2015,1,4,Louisville,57,13,UC Irvine,55
2015,1,8,Cincinnati,66,9,Purdue,65
2015,1,4,Georgetown,84,13,Eastern Washington,74
2015,1,5,Northern Iowa,71,12,Wyoming,54
2015,1,6,Xavier,76,11,Mississippi,57
2015,1,7,Iowa,83,10,Davidson,52
2015,1,11,UCLA,60,6,Southern Methodist,59
2015,1,8,Oregon,79,9,Oklahoma State,73
2015,1,5,Utah,57,12,Stephen F. Austin,50
2015,1,11,Dayton,66,6,Providence,53
2015,1,5,West Virginia,68,12,Buffalo,62
2015,1,6,Butler,56,11,Texas,48
2015,0,11,Mississippi,94,11,Brigham Young,90
2015,0,11,Dayton,56,11,Boise State,55
2015,0,16,Hampton,74,16,Manhattan,64
2015,0,16,Robert Morris,81,16,North Florida,77
2014,6,7,Connecticut,60,8,Kentucky,54
2014,5,8,Kentucky,74,2,Wisconsin,73
2014,5,7,Connecticut,63,1,Florida,53
2014,4,8,Kentucky,75,2,Michigan,72
2014,4,7,Connecticut,60,4,Michigan State,54
2014,4,1,Florida,62,11,Dayton,52
2014,4,2,Wisconsin,64,1,Arizona,63
2014,3,8,Kentucky,74,4,Louisville,69
2014,3,1,Florida,79,4,UCLA,68
2014,3,4,Michigan State,61,1,Virginia,59
2014,3,1,Arizona,70,4,San Diego State,64
2014,3,2,Wisconsin,69,6,Baylor,52
2014,3,7,Connecticut,81,3,Iowa State,76
2014,3,2,Michigan,73,11,Tennessee,71
2014,3,11,Dayton,82,10,Stanford,72
2014,2,4,Michigan State,80,12,Harvard,73
2014,2,3,Iowa State,85,6,North Carolina,83
2014,2,1,Florida,61,9,Pittsburgh,45
2014,2,1,Virginia,78,8,Memphis,60
2014,2,8,Kentucky,78,1,Wichita State,76
2014,2,1,Arizona,84,8,Gonzaga,61
2014,2,6,Baylor,85,3,Creighton,55
2014,2,2,Michigan,79,7,Texas,65
2014,2,4,Louisville,66,5,St. Louis,51
2014,2,2,Wisconsin,85,7,Oregon,77
2014,2,4,San Diego State,63,12,North Dakota State,44
2014,2,11,Tennessee,83,14,Mercer,63
2014,2,7,Connecticut,77,2,Villanova,65
2014,2,11,Dayton,55,3,Syracuse,53
2014,2,10,Stanford,60,2,Kansas,57
2014,2,4,UCLA,77,12,Stephen F. Austin,60
2014,1,2,Wisconsin,75,15,American,35
2014,1,2,Michigan,57,15,Wofford,40
2014,1,8,Memphis,71,9,George Washington,66
2014,1,8,Kentucky,56,9,Kansas State,49
2014,1,6,North Carolina,79,11,Providence,77
2014,1,4,Michigan State,93,13,Delaware,78
2014,1,4,UCLA,76,13,Tulsa,59
2014,1,1,Florida,67,16,Albany (N.Y.),55
2014,1,1,Virginia,70,16,Coastal Carolina,59
2014,1,1,Wichita State,64,16,Cal-Poly,37
2014,1,4,San Diego State,73,13,New Mexico State,69
2014,1,11,Dayton,60,6,Ohio State,59
2014,1,12,Stephen F. Austin,77,5,Virginia Commonwealth,75
2014,1,8,Gonzaga,85,9,Oklahoma State,77
2014,1,14,Mercer,78,3,Duke,71
2014,1,2,Kansas,80,15,Eastern Kentucky,69
2014,1,3,Creighton,76,14,Louisiana-Lafayette,66
2014,1,1,Arizona,68,16,Weber State,59
2014,1,2,Villanova,73,15,Milwaukee,53
2014,1,12,North Dakota State,80,5,Oklahoma,75
2014,1,6,Baylor,74,11,Nebraska,60
2014,1,3,Syracuse,77,14,Western Michigan,53
2014,1,3,Iowa State,93,14,North Carolina Central,75
2014,1,4,Louisville,71,13,Manhattan,64
2014,1,9,Pittsburgh,77,8,Colorado,48
2014,1,7,Texas,87,10,Arizona State,85
2014,1,12,Harvard,61,5,Cincinnati,57
2014,1,5,St. Louis,83,12,North Carolina State,80
2014,1,7,Oregon,87,10,Brigham Young,68
2014,1,11,Tennessee,86,6,Massachusetts,67
2014,1,7,Connecticut,89,10,St. Joseph's,81
2014,1,10,Stanford,58,7,New Mexico,53
2014,0,12,North Carolina State,74,12,Xavier,59
2014,0,11,Tennessee,78,11,Iowa,65
2014,0,16,Albany (N.Y.),71,16,Mount St. Mary's,64
2014,0,16,Cal-Poly,81,16,Texas Southern,69
2013,6,1,Louisville,82,4,Michigan,76
2013,5,4,Michigan,61,4,Syracuse,56
2013,5,1,Louisville,72,9,Wichita State,68
2013,4,4,Michigan,79,3,Florida,59
2013,4,9,Wichita State,70,2,Ohio State,66
2013,4,4,Syracuse,55,3,Marquette,39
2013,4,1,Louisville,85,2,Duke,63
2013,3,2,Duke,71,3,Michigan State,61
2013,3,4,Syracuse,61,1,Indiana,50
2013,3,3,Florida,62,15,Florida Gulf Coast,50
2013,3,9,Wichita State,72,13,La Salle,58
2013,3,4,Michigan,87,1,Kansas,85
2013,3,2,Ohio State,73,6,Arizona,70
2013,3,3,Marquette,71,2,Miami (Fla.),61
2013,3,1,Louisville,77,12,Oregon,69
2013,2,4,Syracuse,66,12,UC Berkeley,60
2013,2,3,Marquette,74,6,Butler,72
2013,2,3,Michigan State,70,6,Memphis,48
2013,2,1,Indiana,58,9,Temple,52
2013,2,15,Florida Gulf Coast,81,7,San Diego State,71
2013,2,4,Michigan,78,5,Virginia Commonwealth,53
2013,2,9,Wichita State,76,1,Gonzaga,70
2013,2,1,Kansas,70,8,North Carolina,58
2013,2,2,Duke,66,7,Creighton,50
2013,2,6,Arizona,74,14,Harvard,51
2013,2,2,Ohio State,78,10,Iowa State,75
2013,2,1,Louisville,82,8,Colorado State,56
2013,2,2,Miami (Fla.),63,7,Illinois,59
2013,2,3,Florida,78,11,Minnesota,64
2013,2,12,Oregon,74,4,St. Louis,57
2013,2,13,La Salle,76,12,Mississippi,74
2013,1,11,Minnesota,83,6,UCLA,63
2013,1,8,Colorado State,84,9,Missouri,72
2013,1,12,Mississippi,57,5,Wisconsin,46
2013,1,4,Michigan,71,13,South Dakota State,56
2013,1,6,Butler,68,11,Bucknell,56
2013,1,6,Memphis,54,11,St. Mary's (Cal.),52
2013,1,10,Iowa State,76,7,Notre Dame,58
2013,1,8,North Carolina,78,9,Villanova,71
2013,1,3,Michigan State,65,14,Valparaiso,54
2013,1,1,Indiana,83,16,James Madison,62
2013,1,14,Harvard,68,3,New Mexico,62
2013,1,3,Florida,79,14,Northwestern State,47
2013,1,7,San Diego State,70,10,Oklahoma,55
2013,1,2,Ohio State,95,15,Iona,70
2013,1,5,Virginia Commonwealth,88,12,Akron,42
2013,1,1,Gonzaga,64,16,Southern,58
2013,1,2,Duke,73,15,Albany (N.Y.),61
2013,1,1,Kansas,64,16,Western Kentucky,57
2013,1,7,Creighton,67,10,Cincinnati,63
2013,1,9,Wichita State,73,8,Pittsburgh,55
2013,1,2,Miami (Fla.),78,15,Pacific,49
2013,1,6,Arizona,81,11,Belmont,64
2013,1,9,Temple,76,8,North Carolina State,72
2013,1,3,Marquette,59,14,Davidson,58
2013,1,13,La Salle,63,4,Kansas State,61
2013,1,4,Syracuse,81,13,Montana,34
2013,1,1,Louisville,79,16,North Carolina A&T,48
2013,1,7,Illinois,57,10,Colorado,49
2013,1,15,Florida Gulf Coast,78,2,Georgetown,68
2013,1,12,Oregon,68,5,Oklahoma State,55
2013,1,4,St. Louis,64,13,New Mexico State,44
2013,1,12,UC Berkeley,64,5,UNLV,61
2013,0,16,North Carolina A&T,73,16,Liberty,72
2013,0,11,St. Mary's (Cal.),67,11,Middle Tennessee State,54
2013,0,16,James Madison,68,16,Long Island,55
2013,0,13,La Salle,80,13,Boise State,71
2012,6,1,Kentucky,67,2,Kansas,59
2012,5,1,Kentucky,69,4,Louisville,61
2012,5,2,Kansas,64,2,Ohio State,62
2012,4,1,Kentucky,82,3,Baylor,70
2012,4,2,Kansas,80,1,North Carolina,67
2012,4,2,Ohio State,77,1,Syracuse,70
2012,4,4,Louisville,72,7,Florida,68
2012,3,1,Kentucky,102,4,Indiana,90
2012,3,1,North Carolina,73,13,Ohio,65
2012,3,4,Louisville,57,1,Michigan State,44
2012,3,3,Baylor,75,10,Xavier,70
2012,3,2,Kansas,60,11,North Carolina State,57
2012,3,7,Florida,68,3,Marquette,58
2012,3,1,Syracuse,64,4,Wisconsin,63
2012,3,2,Ohio State,81,6,Cincinnati,66
2012,2,4,Wisconsin,60,5,Vanderbilt,57
2012,2,1,Kentucky,87,8,Iowa State,71
2012,2,1,North Carolina,87,8,Creighton,73
2012,2,1,Michigan State,65,9,St. Louis,61
2012,2,4,Louisville,59,5,New Mexico,56
2012,2,3,Marquette,62,6,Murray St.,53
